pseudo_id,tempo,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,track_id
62,143.025,0.789,0.659,0.0129,0.852,0.0,0.366,-6.186,0.122,00FaBIFXUfzaaVcsQmTTJY
63,152.005,0.215,0.605,0.0346,0.856,0.873,0.0874,-6.094,0.0666,00FldKRY0RvsKorwsMzNt3
64,121.009,0.905,0.71,0.000706,0.85,5.49e-06,0.36,-5.751,0.0306,00Fp3LOaHKRGvgSM3cws7f
65,75.033,0.342,0.717,0.0945,0.814,5.08e-06,0.853,-3.828,0.229,00G6GfVa1uUyXBEEaqytL5
66,159.807,0.237,0.388,0.995,0.0226,0.906,0.109,-28.815,0.0807,00Ghh8AvVnxzX7nl6ThOln
67,107.007,0.676,0.951,0.446,0.567,0.138,0.106,-10.948,0.283,00GwxMge3vIOMeV43Erckc
68,85.893,0.816,0.53,0.254,0.787,0.0,0.125,-4.769,0.183,00HMEiBMDkbNCHLJL6zqVk
69,68.757,0.21,0.36,0.846,0.357,0.0,0.0698,-6.63,0.0303,00HWHVerv16snyQSRrfVWT
70,137.971,0.569,0.811,0.00761,0.737,0.00057,0.29,-6.923,0.0393,00IMpdorXDMjMCSeSH0NVV
71,77.981,0.457,0.549,0.308,0.627,0.0,0.183,-6.209,0.0279,00IuYbkpL3bQilWyhhR7aE
72,142.863,0.271,0.351,0.0267,0.595,0.0,0.858,-6.618,0.0311,00IyeP7sRybKkJs7Y0kBYW
73,95.01,0.327,0.703,0.508,0.555,0.0,0.134,-6.173,0.0284,00JbznfNVCiSSqLXI7wd5B
74,103.643,0.556,0.365,0.662,0.449,2.46e-06,0.153,-13.516,0.0356,00KSN0qtGSeYX9qFClCEcg
75,148.285,0.907,0.792,0.426,0.538,0.0,0.194,-8.898,0.0665,00KcJmQZDQoSfTPbd1afPP
76,100.967,0.451,0.553,0.00401,0.907,0.0,0.266,-5.623,0.0484,00KfIFi2TpAaQGPbRbFbKJ
77,159.97,0.278,0.534,0.019,0.84,8.97e-06,0.197,-4.535,0.463,00L5zl0hO6lO069lzRWNkW
78,91.522,0.464,0.447,0.00904,0.918,0.0,0.124,-4.158,0.0921,00MGnvXDyTlYlEqu5EYDlH
79,103.915,0.961,0.81,0.419,0.622,7.02e-05,0.153,-12.715,0.0671,00N0HLqc3ebGR2DKcH8cU4
80,139.937,0.154,0.462,0.0238,0.433,3.34e-06,0.0871,-8.067,0.0279,00N19SVEo6XJFaerouyckn
81,93.01,0.696,0.782,0.0845,0.566,0.854,0.142,-10.321,0.147,00NLANlysX9yJpOD3mfshw
82,129.995,0.951,0.853,0.343,0.571,0.0,0.135,-3.53,0.0434,00NbQxhcyg70ieqxsKbnCV
83,93.241,0.76,0.492,0.196,0.936,0.00327,0.0843,-2.848,0.246,00NmK2seXpRFNAEsRBe7lc
84,127.141,0.822,0.854,0.104,0.8,3.7e-06,0.0506,-6.139,0.115,00PhRxMpNWMaIgGLrYeSEB
85,76.995,0.746,0.69,0.17,0.518,1.77e-06,0.382,-8.843,0.0845,00QuXoF6LyKwH9xz7lXGdf
86,127.935,0.687,0.549,0.846,0.554,3.17e-05,0.094,-6.637,0.0454,00QxPiv5tWA0DivDF4bFzR
87,143.933,0.166,0.311,0.827,0.259,0.0,0.159,-11.727,0.0319,00RAe9PMz8cjuaRCZHQFaR
88,120.062,0.542,0.651,0.00129,0.704,0.000321,0.36,-6.867,0.0339,00RXRO3lMRX2jzqSLPOUYG
89,184.888,0.653,0.615,0.0216,0.921,5.86e-05,0.146,-4.472,0.0541,00RY8ND2vmnVaxG7fi2Ndd
90,100.032,0.151,0.597,0.0166,0.965,0.000116,0.195,-1.42,0.0445,00RYw42tKwXecTaVay3BKl
91,126.426,0.0843,0.543,0.6,0.509,0.000133,0.105,-9.145,0.0561,00S0eOLwzdqcC9V8hmigD2
92,109.932,0.0662,0.718,0.00794,0.675,0.00269,0.0983,-7.099,0.0381,00SlXYapXP5KuDarLc2hUJ
93,128.024,0.36,0.571,0.000224,0.611,0.778,0.0797,-10.903,0.0556,00SoIMYmXRmDelWr3oInEU
94,90.018,0.252,0.6,0.00225,0.91,0.148,0.133,-3.785,0.058,00TRUnuEogzrVx5Nvuhjve
95,87.991,0.846,0.874,0.104,0.647,0.0,0.0714,-8.357,0.174,00UDKVPihHe7Nf3EBMPhim
96,135.976,0.936,0.769,0.111,0.894,0.0,0.0333,-3.379,0.0395,00UZySJXRYQgnOrlzluIIm
97,77.892,0.382,0.498,0.509,0.475,0.0,0.247,-8.043,0.029,00V2jgXWvvwY5wWan8buzm
98,75.337,0.413,0.483,0.108,0.752,2.73e-06,0.264,-4.516,0.0706,00V7hys3DAMc0odkTw2TeI
99,125.7,0.598,0.535,0.00412,0.95,0.276,0.469,-3.899,0.0899,00VKjTegmSozg5BEKbDvoy
100,128.359,0.339,0.603,0.442,0.538,4.89e-05,0.101,-8.948,0.232,00VWUa96Clte4uNEv963vn
101,119.935,0.362,0.595,0.0333,0.802,2.8e-06,0.0717,-4.655,0.22,00VxlBCTky2MEXU0o5f0R3
102,124.928,0.518,0.566,3.61e-05,0.958,0.009,0.134,-3.657,0.0426,00W0J8q6WkTWPSQpf7ujd4
103,133.013,0.601,0.847,0.503,0.567,0.0,0.0774,-9.489,0.338,00WFoR7tPga5Wj92MSR3eD
104,75.508,0.374,0.386,3.43e-05,0.888,0.0904,0.0692,-5.528,0.0635,00WVclSOdTPuLYTott68Wl
105,85.168,0.33,0.404,0.783,0.163,0.0,0.108,-13.587,0.0354,00WlhL0LSsLLPxpE26ulrs
106,139.639,0.354,0.619,0.202,0.738,2.84e-06,0.513,-7.559,0.218,00X0ABCr4AZpT5GDfwjdcg
107,82.028,0.769,0.784,0.491,0.7,0.0,0.108,-7.649,0.108,00X2yv2vrtritPt2CZnUTZ
108,83.898,0.78,0.451,0.00058,0.896,0.000359,0.323,-3.396,0.0579,00XP0o05u7lD4bGuBvurQj
109,109.167,0.511,0.67,0.179,0.55,6.32e-06,0.184,-7.577,0.0279,00XjwOz9DOU0fKnh17GXOv
110,139.923,0.389,0.563,0.0271,0.936,0.642,0.157,-5.956,0.194,00XwsB20bwisKzazPgO4RY
111,151.035,0.403,0.444,0.0014,0.867,0.000649,0.066,-5.937,0.0392,00YAn5zjF18r2LTRl5jRVT
112,143.98,0.882,0.695,0.0218,0.836,0.0,0.0459,-4.231,0.0429,00ZROeHf7xvMw5q8wAYf9O
113,79.964,0.387,0.629,0.838,0.411,0.0161,0.112,-9.044,0.243,00ZVirYmp7wZcnbaz2e4TO
114,163.913,0.417,0.466,0.241,0.752,0.0,0.408,-6.976,0.516,00aFk1wjKelA5joWa6oRqw
115,164.094,0.406,0.761,0.753,0.344,0.804,0.104,-11.662,0.0666,00aSUO0t0C0mOEcNiCpkZp
116,171.596,0.233,0.273,0.299,0.741,0.00135,0.761,-7.474,0.0493,00ailAfAjjifgelyFD6nHP
117,153.521,0.415,0.461,0.839,0.293,0.0,0.118,-9.0,0.0496,00bAw28lKcHj3B94a1wJle
118,142.499,0.396,0.715,0.472,0.497,0.0,0.116,-9.914,0.0371,00bHxCcteaAJhU5WiP1mtf
119,114.99,0.57,0.809,0.0777,0.773,0.146,0.113,-6.758,0.0676,00beHO2oTWTZMfcGukiHo2
120,89.125,0.349,0.687,0.0179,0.921,0.0,0.267,-3.646,0.271,00blYtuM22dQpn693F2BlC
121,160.055,0.651,0.753,0.0565,0.718,1.25e-05,0.107,-6.485,0.131,00cbRAOr6wTPE9WBMejhiM
122,79.981,0.76,0.765,0.209,0.652,0.0,0.113,-7.225,0.442,00d0mhp0rihlfqch8l7MGU
123,107.144,0.767,0.766,0.727,0.529,5.68e-06,0.127,-6.388,0.0252,00d5xg90Mvl5bvK18oliSI
124,89.761,0.29,0.432,0.00439,0.934,0.000616,0.395,-3.656,0.0866,00dBDFxN5i4S6Ko00jKqNW
125,86.015,0.741,0.611,0.717,0.794,3.63e-06,0.458,-7.547,0.0693,00dThTUpPME0XhBr6vHmkT
126,148.832,0.166,0.52,0.00896,0.595,0.0,0.101,-6.19,0.0475,00dgK4Nln0AJQvI66SLRDb
127,118.049,0.343,0.418,0.971,0.207,0.0696,0.103,-12.206,0.0461,00e1c7sY2YmpscKwKdddX0
128,86.485,0.461,0.348,0.581,0.297,0.0,0.172,-9.372,0.0352,00eP3Re9E5u29vdU0oPuRK
129,132.036,0.327,0.645,0.747,0.513,0.0,0.123,-7.705,0.0319,00eQhZv2u4X3qNTKAPbyGU
130,91.287,0.79,0.669,0.845,0.382,0.0,0.0778,-13.504,0.638,00eSBjcEtF8WcKyUKE86ee
131,160.117,0.715,0.811,0.115,0.621,0.0,0.0836,-5.031,0.188,00efU9s1tVptQB3SUabGvu
132,137.684,0.487,0.594,0.814,0.23,0.0,0.675,-12.609,0.0595,00gQlL5wLo1puyxaTrXIdn
133,88.0,0.722,0.638,0.0489,0.707,0.338,0.31,-10.477,0.0335,00gVLA5wOtIOEUoZcXxhCq
